index,text,label
1001977722497916930,"""فارغ از اين كه شبكه حقوق كردستان چ شبكه اي هست ك نميدونم هدفش چيه و از كجا ساپورت ميشه جدايي طلب يا نه يا حتي اين ك اين تصاوير درست هست يا نه خاك تو سر مسولان مملكتي بالوجود اين همه منابع ومعادن وذخايركوله بري توش شغل حساب ميشه #مرگ_بر_مسئول_بي_غيرت""",3
1377377035262193666,"""اقاي مثلا حق دوست اجراي قانون ادرس درست هست پيامك پخش كردن شما همون مخالفت علني با قانونه خواسته عمومي اجراي قانون#مجلس_دیوان_دیده‌بان_تشکر #عدالت_دیوان_استقلال_قاضی_دلگرمی_پزشکان #اخطار_به_وزیر_اخراج_حقدوست""",3
1377406643747516417,"""بینمون ی سری کلماتن ک اونام ازم فاصله گرفتن.""",3
1377389880422985734,"""شراب سرده براهمین خیلی از معده هارو اذیت میکنه عسل خیلی خوبه برا مزه بعدش کیتکت""",2
1377400831935344640,"""ببخشید اگه اذیتتون کردم با حضورم :)""",2
1377393328031862788,"""مجنون از دست رفت خیلی تلخ:)))))))""",3
1002123902259167232,"""توفکرم این مامور پلیسی که امروز اومد مطبمون، آخر تموم شدن دعوای دوطرف که گفت زندگی منم خرج داره،بار اولی که این جمله رو گفته احساس حقارت و گدایی نکرده؟ هر بلایی سرمون اومده تو این چندین دهه فقط همینجاش که """"شرف"""" از وجودمون رفت.""",3
1377369932367679488,"""آنانکه خاک را به نظر کیمییا کنند آیا شود که منارجنبون تو ک.ن چینییا کنند #No2China""",3
1377392151550562305,"""در خفا هیجانش بیشتره""",1
1377410102320275460,"""من چون دستم به تیر دروازه خورد خیلی درد گرفت این کار کردم آروم گرفتمچسب درد از داروخونه بگیر بزار جاشم با دوتا چوب ببند گرم نگه دار هر ۶ ساعت یه چسب درد بزار دوتا آرام بخشم بخور""",2
1377383387892224001,"""دوازده (۱۲) فروردین روز احقاق حق، روزی پیروزی دین است. ...روز جمهوری اسلامی ایران گرامی باد.#نظام_مردم""",1
1001635375578787840,"""#قرار_هشت💛 خوشم که جوهر عشق تو در سرشت من استمحبت تو همان خط سرنوشت من استگناهکارم و از آسـتان قدس شـما💛 کجا روم؟! به خدا مشهدت بهشت من است""",1
1001497394415046657,"""مجازات و درس عبرت شدن در دادگاه باید تعیین بشه، حرف این بوده.""",2
1377407444389818370,"""هر جور حساب می کنم همه میما باید گاو باشه""",2
1377387501573140481,"""خواب بودم،یک لحظه پریدم ازخواب بگم،این آرامشی که داریم در هر شب و روز، مدیون همین نظام و انقلاب هستیم.#نظام_مردم""",2
1377403766169739264,"""اونی که خریده هنوز move نکرده میخواهد بفروشه ولی ۱۰۰ بالاتر . درسته مبخواهد بعضی هزینه ها رو کاور کنه ولی ۱۰۰ حتما میخواهد بک‌چیزی هم تو جیب بگذاره""",2
1001473475431862272,"""خدا لعنتشون کنه....""",3
1001772425133150208,"""در اینکه صهیونیست ها حرامزاده هستند شکی نیست.شما هم با این ترفند های ریاکارانه که برای مردم ایران مثلا دلسوزی کنید هیچ غلطی نمیتوانید بکنید.تاریخ همان است حسینی و یزیدی""",3
1001488517946662912,"""زنجیره عوضیا رو قطع کردی""",3
1377408039678996482,"""بررسی و مناقدات نهایی رو انجام بده و نتیجه ی غایی رو اعلام کن. 🥺""",2
1001869354126987270,"""شب شور و شعف اهل تولی شده امشب... «چهره ماه» با صدای #امید_روشن_بین و #حسین_حقیقی به مناسبت سالروز میلاد #امام_حسن_مجتبی علیه السلام #امام_حسنی_ام""",1
1377409922149847041,"""مطالبتون ادمو بیاد اتفاقات گذشته میندازه که گاهی خوشایند وگاهی تلخه""",2
1377404366269734915,"""وایمن نبودم بلایی سر رینلی اومده😐""",2
1001239180658257921,"""۱۰میلیون دلار :/ ۶۵۰۰ بده من فعلا یه سیگار بگیرم""",2
1377392766234238978,"""همونیه که دست به کمر ایستاده😅""",2
1377404568183533571,"""در مسیر پیشرفت#نظام_مردم""",2
1000038323363221507,"""هايده مي خونه: همه به جز مهستي ... سر كار و وزارت!""",2
1377405282855227392,"""به هیچ کدوم از آرزو ها و رویاهای دوران جوانیم نرسیدمولی باور کنید این چیزی که بهش رسیدم انقدر خوبه، که اصن دوران جوانی عقلم نمی‌رسید، باید اینو آرزو می‌کردم...""",1
1377402774132944897,"""امیدوارم کراشتون بیاد بهتون بگه اونم دوستون داشته و اون لحظه از ذوق هیچی نتونید بگید و لبخند بزنید و پوست تخمه مشکی لای دندونتون نمایان شه ایح ایح ایح ایح""",1
1377389687455719425,"""تو یه دیوونه میخواستی که منهم واسه تو دیوونه بودمیه عاشق از خودت منکه بجزتو عاشق هیچکی نبودم#shahabvls""",3
1001709758259367936,"""اینم یک جور فعالیت صنفیه.""",2
1002984274923065345,"""متاسفانه همیشه انتخابات در ایران بر پایه #بد_و_بدتر انجام شده که دقیقا به خاطر وجود #اصلاحات و #اصلاح_طلب انجام شده .اصلاحاتی که اصلا وجود خارجی نداشته اند.#براندازم#براندازیم#IranRegimchang #اصلاحات_دروغ_حکومت #تظاهرات_سراسرى""",3
1377392966373797891,"""چون اونجا این تعداد مخالف مشتاق نمیشینن بهش گوش بدن.""",2
1377388093553004545,"""بکهیون بکهیون بکهیون بکهیون بکهیون بکهیونهیچوقت مغزم اینقد پر از بکهیون نبود‌.@B_hundred_Hyun""",2
1377376026121109511,"""در جایی که مخالفان و منتقدان، عمدتا مخالف و منتقد نامیده می‌شوند، حاکمیت در حال ساختن کشور استدر جایی که مخالفان و منتقدان، عمدتا خائن و دشمن نامیده می‌شوند، حاکمیت در حال سوختن کشور است #ساختن_یا_سوختن_کشور""",3
1377370186878087173,"""زرنگیش و متلک زنیش واسه ماستو خودفروشی و دیاثتش برای غرب""",3
1377399560474099719,"""جدی راس میگی چرا اینجوری شده؟🤔😂""",2
1377408698159673345,"""منم همش یه سکانس از لاو ایز واز تو ذهنم میاد😂""",2
1001378130492248065,"""ادم میترسه این کتابو هدیه بدی بهشون بعد دعوا بشه ک چرا میخواستی چشم و گوش بچمو باز کنی""",3
1377405647038205957,"""درود بر شرفش واقعا خیلی کم داریم از این هنرمندا #No2China""",1
1377407916735598597,"""مثل همون ۱۲ تا عکسی که هر سال میگرفتنه🤦‍♂️""",2
1377390031464132610,"""بدون آراءِ مردم، حضور مردم و بدون تحقّق خواست مردم، خیمه‌ی نظام اسلامی، سرِ پا نمی‌شود و نمی‌ماند#نظام_مردم""",2
1377406853873872904,"""من آدمی دارم که برای پادکستام ویدیو درست میکنه((((: و حتی تا امروز نمیشناختمش((:""",2
1001262250475249664,"""همیشه هر جا هستی شاد باشی و سر زنده...""",1
1377403554621628417,"""والا بخدااااااتو که خوابی :)))))""",2
1377402226138783745,"""جمهوری اسلامی چیزیست بیشتر از یک نظام ، جمهوری اسلامی یعنی ایثار و از خود گذشتگی یعنی مدافع مظلومان یعنی فریاد کشیدن در برابر ظالمان!!!روز جمهوری اسلامی ایران مبارک🇮🇷#نظام_مردم #آری_به_جمهوری_اسلامی""",1
1377392615977455617,"""یه دوستیه من همیشه چیزی میخوام بخرم یا تعمیری باشه با ایشون هماهنگ میکنم خواستی پیجشو بهت میدم""",2
1002109466068881408,"""۵۵ درصد از کسانی که یک محصول را جستجو میکنند از آمازون استفاده میکنند و ۲۸ درصد از گوگل، الباقی ۱۷ درصد مربوط به سایتهای دیگر است. این به این معنی است آمازون به رقیبی جدی برای گوگل تبدیل شده است. از کتاب The four""",2
1377405702851817472,"""اره یکی هی اذیت میکردم پاک کردم""",2
1377407800922365952,"""اون صحنه که داریوش زنه رو جلوی شوهرش جرش داد😢""",3
1001900463288184832,"""خب این چه مشکلی رو حل میکنه ؟ خودکشی متعلق به کسانیست که تحمل مبارزه را ندارند""",3
1377400569325703169,"""ویرجین منگو؟انبه باکره؟انبه ها هم میدن؟""",2
1377387030200512515,"""دوستی، که با عکسی که انداختی از این چیزا درست میکنه 😍از هر مهربانتری♥️مهربانتره💚#مهربان""",1
1002943285931978752,"""چطور میشه یکی به خودش حق بده از یکی دیگه بپرسه تو به فلانی حق میدی که رفته باشه. به تو چه به اون چه""",3
1377405197664673792,"""حرفت منطقیه :))) پلن بی در همه حال بهاره رهنماست :)) بهش هر وقت بگی ۲۰ ثانیه بعد حضور داره""",2
1001774229497499648,"""#بیت‌کوین یا #بیت‌کویین؟ مسئله این است! با #کریپتوکارنسی‌ها چه باید کرد؟ آینده‌ای درخشان یا سقوطی وحشتناک؟به نظرتون داریم به کدوم سمت میریم؟ 🔗#بیت‌کوین #بیت‌کویین #اتریوم #دری‌کوین #ارزهای_دیجیتالTranslate Tweet""",2
1377406020880850950,"""درود بر شما خانم رجوي عزيز و گرامي ، شما حرف تمام ملت را ميزنيد و نمايندگي ميكنيد و به همين دليل افتخار إيران و ايراني بوده و هستيد ! چرا كه فقط حرف نزديد بلكه در مقابل شاه و شيخ ايستاده و از حقوق ملت دفاع كرديدبا بهاي سنگين! #راي_ما_سرنگوني #اري_به_جمهوري_دمكراتيك#مريم_رجوي""",1
1001440306368319488,"""بر من از دست تو چندان که جفا می‌آیدخوشتر و خوبتر اندر نظرم می‌آیی#سعدی""",1
1001763402233057280,"""👈 دخترها یک ساعت برن خونه خالی زن میشن👈 ولی پسرها دو سال باید برن سربازی که مرد بشناَی کیر تو این زندگی 😑""",3
1377404168361611272,"""شیخ در نوشابه باز کنی و حروم اعلام نکردی هنوز؟! /؛@mokhtarsaghafy""",3
1377407921689010178,"""الان خودتم بیداری ها""",2
1377377619071528962,"""سلام جووون دل ، برقراری عزیز ، رو به رشدی ، خدا رو هزار مرتبه شکر""",1
1001913523822350337,"""روزگار جالبی است ،مرغمان تخم نمیگذارداما گاومان هر روز میزاید!#مدرسه_معین""",3
1377391231341228033,"""ولی منم ازاین اکیپامیخام😪😪""",2
1377400372818554880,"""با شال رفتم دانشگاه ثبت نام كنم همونو برگردوندنم خونه""",2
1001900314440749057,"""سروش نصب نکردم و حتی از نزدیکش هم رد نشدم. حالا اس ام اس اومده کد تأیید شما در سروش فلان عدده!#سروش #سیریش #عضویت_زورکی_در_پیام‌رسان_داخلی""",3
1001150220107853825,"""نه نا امید نشو شاید خوب بشم :))""",1
1377395095956193284,"""بابا یه پشم کندنه دیگهدرد نداره که🏃🏻‍♀️""",2
1002193387347480576,"""رتبه کنکور تا وقتی شخصیه که بالای 100 باشه. پفیوز وقتی دو رقمی هستم گه می‌خوری ادا باشعورا رو در میاری و نمی‌پرسی""",3
1377398314103005187,"""ولی اگه خدا خدای مهربونی باشه باید اون چیزی که ازش می خوام رو بده""",2
1001461798703452160,"""نه خیر اشتباه میکنید.شما رو ارجاع میدم به سخنان وندی شرمن که رسما اعلام کرد ما چند میلیون دلار هزینه کردیم تا دولت لوکراین رو به سقوط بکشونیم.و بعدها ثابت شد که انقلاب متملی توسط امریکایی ها طراحی و اجرا شده بود.اتفاقا ایران با درخواست این کشورها و حضور مشتاری دخالت میکنه""",2
1377399456581083136,"""بابا ندیدم غورباقه رو کیری ولم کن""",3
1377380788249841664,"""در دنیای اسلام،پرچم آزادی را نظام جمهوری اسلامی بلند کرد،در شعارهایش استقلال و آزادی طنین انداز بود.#نظام_مردم""",1
1377402615512715265,"""عاخه برا ما که چار صب بیداریم زمان معنی داره؟:/""",3
1377399667609100290,"""یه چنل میزنم آخر سر همین چیز ها""",2
1377404725889536001,"""شیزوفرنی بیشتر بهش میاد شیرینی باشه تا بیماری""",2
1002998376642764800,"""آدمای این سیاره مدام دنبال یه چیزی به اسم عشق میگردن،من نمیدونم اونا منظورشون چیه ولی فکر میکنم همین که با داشتن یکی حالم خوب باشه،میشه عشق صداش زد،مگه نه؟""",1
1001602803402530816,"""دمت گرم داشتم فک میکردم فردا نهار چی درست کنم""",1
1377407483283603463,"""دولتها سر واکسن باهم درگیر هستن. اتحادیه اروپا با هند و انگلستان درگیر هست و هند با آمریکا. کار به تهدید و خط و نشان کشیدن رسیده.روحانی میگه بخش خصوصی با ارز نیمایی واکسن وارد کنه.""",2
1001834992132087809,"""الخير فى ماوقع پس ان شاء الله:)""",1
1002962157359673344,"""شیخ حسن ببین و لذت ببر از اسم ..حسن..""",1
1001460863373488130,"""وضعیت آرش صادقی، زندانی سیاسی که در زندان به بیماری «کولیت زخمی» یا «کولیت اولسروز» مبتلا شده، وخیم است و مسئولان تا کنون برای درمان او اقدامی نکرده‌اند.""",2
1377404926549180418,"""کجا رسد به تو مکتوب گریه‌آلودم؟که باد هم نبَرَد کاغذی که نم دارد .#صائب_تبریزی""",3
